時間,company_id,統一編號,file status,python status,link
Tue Jul 23 15:06:28 2019,1101,11913502,successful,Fine,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=1101&year=108&mtype=F&
Tue Jul 23 15:07:12 2019,1102,3244509,successful,Fine,https://doc.twse.com.tw/server-java/t57sb01?step=1&colorchg=1&co_id=1102&year=108&mtype=F&
