公司代號,公司名稱,營利事業統一編號
1709,和益化學工業股份有限公司,4312878
1710,東聯化學股份有限公司,14057995
1711,臺灣永光化學工業股份有限公司,15458455
1712,興農股份有限公司,51911712
1713,國泰化工廠股份有限公司,3375001
1714,和桐化學股份有限公司,12526607
1717,長興材料工業股份有限公司,75339004
1718,中國人造纖維股份有限公司,7066907
1720,生達化學製藥股份有限公司,71122503
1721,三晃股份有限公司,55738290
1722,台灣肥料股份有限公司,3795101
1723,中鋼碳素化學股份有限公司,23221384
1724,台硝股份有限公司,38033305
1725,元禎企業股份有限公司,12132033
1726,永記造漆工業股份有限公司,75137605
1727,臺灣中華化學工業股份有限公司,3558206
1730,花仙子企業股份有限公司,7708830
1731,美吾華股份有限公司,14089976
1732,毛寶股份有限公司,34245356
1733,五鼎生物技術股份有限公司,16130182
1734,杏輝藥品工業股份有限公司,42042734
1735,日勝化工股份有限公司,23263551
1736,喬山健康科技股份有限公司,52347361
1737,臺鹽實業股份有限公司,89397503
1760,寶齡富錦生技股份有限公司,4742997
1762,中化合成生技股份有限公司,3088704
1773,勝一化工股份有限公司,75970680
1776,展宇科技材料股份有限公司,47061800
1783,和康生物科技股份有限公司,16749811
1786,科妍生物科技股份有限公司,13159100
1789,台灣神隆股份有限公司,16130161
1802,台灣玻璃工業股份有限公司,11914002
1805,寶徠建設股份有限公司,12179563
1806,冠軍建材股份有限公司,49701774
1808,潤隆建設股份有限公司,34149369
1809,中國製釉股份有限公司,47056834
1810,和成欣業股份有限公司,3228304
1817,凱撒衛浴股份有限公司,22746550
1902,台灣紙業股份有限公司,11912102
1903,士林紙業股份有限公司,11038101
1904,正隆股份有限公司,33085508
1905,中華紙漿股份有限公司,94025264
1906,寶隆國際股份有限公司,12030606
1907,永豐餘投資控股股份有限公司,85066002
1909,榮成紙業股份有限公司,34202841
2002,中國鋼鐵股份有限公司,30414175
2006,東和鋼鐵企業股份有限公司,75280209
2007,燁興企業股份有限公司,75992214
2008,高興昌鋼鐵股份有限公司,75466009
2009,第一伸銅科技股份有限公司,82001528
2010,春源鋼鐵工業股份有限公司,11529802
2012,春雨工廠股份有限公司,88187108
2013,中國鋼鐵結構股份有限公司,85800192
2014,中鴻鋼鐵股份有限公司,7838854
2015,豐興鋼鐵股份有限公司,55389357
2017,官田鋼鐵股份有限公司,72065240
2020,美亞鋼管廠股份有限公司,44680700
2022,聚亨企業股份有限公司,79841479
2023,燁輝企業股份有限公司,75947936
2024,志聯工業股份有限公司,43633504
2025,千興不銹鋼(股)公司,70005915
2027,大成不銹鋼工業股份有限公司,22318348
2028,威致鋼鐵工業股份有限公司,69771636
2029,盛餘股份有限公司,79837539
2030,彰源企業股份有限公司,60330130
2031,新光鋼鐵股份有限公司,35836625
2032,新鋼工業股份有限公司,34008635
2033,佳大世界股份有限公司,72072615
2034,允強實業股份有限公司,59068700
2038,海光企業股份有限公司,75470524
2049,上銀科技股份有限公司,23503047
2059,川湖科技股份有限公司,22274989
2062,橋椿金屬股份有限公司,59353423
2069,運錩鋼鐵股份有限公司,22533297
2101,南港輪胎股份有限公司,11520909
2102,泰豐輪胎股份有限公司,44721408
2103,台橡股份有限公司,3553737
2104,國際中橡投資控股股份有限公司,4382114
2105,正新橡膠工業股份有限公司,59504506
2106,建大工業股份有限公司,59619900
2107,厚生股份有限公司,3283306
2108,南帝化學工業股份有限公司,12209807
2109,華豐橡膠工業股份有限公司,59760104
2114,鑫永銓股份有限公司,51704734
2115,六暉控股股份有限公司,38773146
2201,裕隆汽車製造股份有限公司,3489200
2204,中華汽車工業股份有限公司,3098415
2206,三陽工業股份有限公司,24004006
2207,和泰汽車股份有限公司,3251108
2208,台灣國際造船股份有限公司,4695235
2227,裕隆日產汽車股份有限公司,80032530
2228,劍麟股份有限公司,4359789
2231,為升電裝工業股份有限公司,23219346
2236,百達精密工業股份有限公司,42299452
2239,開曼英利工業股份有限公司,47423487
2243,宏旭控股股份有限公司,55996613
2301,光寶科技股份有限公司,23357403
2302,麗正國際科技股份有限公司,4982433
2303,聯華電子股份有限公司,47217677
2305,全友電腦股份有限公司,47226140
2308,台達電子工業股份有限公司,34051920
2312,金寶電子工業股份有限公司,4370927
2313,華通電腦股份有限公司,4401392
2314,台揚科技股份有限公司,47255762
2316,楠梓電子股份有限公司,76026851
2317,鴻海精密工業股份有限公司,4541302
2321,東訊股份有限公司,47224065
2323,中環股份有限公司,12205020
2324,仁寶電腦工業股份有限公司,21222725
2327,國巨股份有限公司,22636630
2328,廣宇科技股份有限公司,3546618
2329,華泰電子股份有限公司,89004161
2330,台灣積體電路製造股份有限公司,22099131
2331,精英電腦股份有限公司,22449566
2332,友訊科技股份有限公司,22099189
2337,旺宏電子股份有限公司,22099548
2338,台灣光罩股份有限公司,22099408
2340,光磊科技股份有限公司,47255947
2342,台灣茂矽電子股份有限公司,22099110
2344,華邦電子股份有限公司,22099218
